epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
161,2177.07,0.90665,0.44022,0.78623,0.91294,0.56096,0.73605,0.58173,0.83231,0.44385,0.77941,0.000944,0.000944,0.000944
162,2190.88,0.88693,0.42684,0.78574,0.91472,0.56195,0.73494,0.58111,0.83279,0.47664,0.77894,0.0009374,0.0009374,0.0009374
163,2203.23,0.89335,0.42039,0.78052,0.91681,0.5636,0.73677,0.57721,0.85874,0.44781,0.77952,0.0009308,0.0009308,0.0009308
164,2216.78,0.90188,0.42155,0.7837,0.8967,0.56353,0.73815,0.57716,0.84018,0.46358,0.77949,0.0009242,0.0009242,0.0009242
165,2231.65,0.89701,0.41534,0.78292,0.89894,0.56606,0.74296,0.58805,0.83463,0.43948,0.77879,0.0009176,0.0009176,0.0009176
166,2244.08,0.86874,0.41462,0.78527,0.9175,0.56426,0.74355,0.58195,0.86227,0.43688,0.77973,0.000911,0.000911,0.000911
167,2256.07,0.87784,0.40247,0.78255,0.90009,0.56794,0.74035,0.58655,0.82376,0.44319,0.77862,0.0009044,0.0009044,0.0009044
168,2268.22,0.86829,0.4,0.7828,0.91501,0.56644,0.74268,0.58138,0.85081,0.44609,0.77968,0.0008978,0.0008978,0.0008978
169,2283.47,0.87811,0.41774,0.78446,0.8984,0.5709,0.74407,0.58674,0.83915,0.45768,0.77949,0.0008912,0.0008912,0.0008912
170,2296.92,0.90028,0.4262,0.7857,0.91058,0.56987,0.75052,0.59232,0.83521,0.43444,0.77878,0.0008846,0.0008846,0.0008846
171,2309.87,0.88769,0.41268,0.78464,0.91748,0.56535,0.74674,0.58612,0.84673,0.44012,0.77948,0.000878,0.000878,0.000878
172,2324.68,0.8735,0.41317,0.78193,0.89754,0.56885,0.74195,0.58609,0.82309,0.43565,0.77822,0.0008714,0.0008714,0.0008714
173,2338.28,0.89937,0.41855,0.78444,0.89055,0.56637,0.7383,0.57996,0.84627,0.49586,0.77886,0.0008648,0.0008648,0.0008648
174,2350.64,0.87709,0.41896,0.78379,0.92122,0.56119,0.73893,0.58751,0.82297,0.43014,0.77895,0.0008582,0.0008582,0.0008582
175,2366.1,0.87353,0.41211,0.78146,0.90278,0.56677,0.73847,0.58179,0.83167,0.45943,0.7789,0.0008516,0.0008516,0.0008516
176,2379.12,0.8803,0.4103,0.78546,0.9049,0.56644,0.74018,0.5873,0.82365,0.43983,0.77957,0.000845,0.000845,0.000845
177,2391.94,0.89435,0.41406,0.78209,0.90429,0.57131,0.74936,0.59237,0.85363,0.43976,0.77967,0.0008384,0.0008384,0.0008384
178,2404.77,0.88002,0.41422,0.78231,0.90369,0.57093,0.75002,0.58907,0.83472,0.44139,0.78001,0.0008318,0.0008318,0.0008318
179,2417.33,0.85981,0.40869,0.78175,0.89366,0.56799,0.74202,0.58669,0.82525,0.45255,0.77895,0.0008252,0.0008252,0.0008252
180,2432.11,0.885,0.42009,0.7823,0.90136,0.56555,0.74054,0.58431,0.82833,0.45651,0.77891,0.0008186,0.0008186,0.0008186
